"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url"
"Konganam veed","Cochin Show on map","₹ 500","1 night, 1 adult, 1 child","Double Room","1 single bed","","","","https://www.booking.com/hotel/in/konganam-veed.en-gb.html?label=gen173bo-1DCAQoggJCDHNlYXJjaF9rb2NoaUgJWANobIgBAZgBCbgBB8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCrbW4igbAAgHSAiQzOWYwNzkzYi04ODQyLTQyMTgtYjFmZC1jZjVjNDVjMWRmODDYAgTgAgE&sid=08620bc690afc790faf7e09c6f9cb729&age=12&all_sr_blocks=720606701_309059091_2_1_0&checkin=2021-10-01&checkout=2021-10-02&dest_id=-2093645&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=1&group_children=1&hapos=1&highlighted_blocks=720606701_309059091_2_1_0&hpos=1&no_rooms=1&req_adults=1&req_age=12&req_children=1&room1=A%2C12&sr_order=price&sr_pri_blocks=720606701_309059091_2_1_0__50000&srepoch=1632508590&srpvid=fc9b82d6bbff0033&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"TENY HOMESTAY","Fort Kochi, Cochin Show on map","₹ 500","1 night, 1 adult, 1 child","Double Room with Balcony","2 double beds","","","","https://www.booking.com/hotel/in/teny-homestay-kochi.en-gb.html?label=gen173bo-1DCAQoggJCDHNlYXJjaF9rb2NoaUgJWANobIgBAZgBCbgBB8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCrbW4igbAAgHSAiQzOWYwNzkzYi04ODQyLTQyMTgtYjFmZC1jZjVjNDVjMWRmODDYAgTgAgE&sid=08620bc690afc790faf7e09c6f9cb729&age=12&all_sr_blocks=717090401_299021644_2_0_0&checkin=2021-10-01&checkout=2021-10-02&dest_id=-2093645&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=1&group_children=1&hapos=2&highlighted_blocks=717090401_299021644_2_0_0&hpos=2&no_rooms=1&req_adults=1&req_age=12&req_children=1&room1=A%2C12&sr_order=price&sr_pri_blocks=717090401_299021644_2_0_0__50000&srepoch=1632508590&srpvid=fc9b82d6bbff0033&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"Calvin's Inn","Fort Kochi, Cochin Show on map","₹ 550","1 night, 1 adult, 1 child","Budget Double Room","2 single beds","9.0","Superb","119 reviews","https://www.booking.com/hotel/in/calvin-39-s-inn.en-gb.html?label=gen173bo-1DCAQoggJCDHNlYXJjaF9rb2NoaUgJWANobIgBAZgBCbgBB8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCrbW4igbAAgHSAiQzOWYwNzkzYi04ODQyLTQyMTgtYjFmZC1jZjVjNDVjMWRmODDYAgTgAgE&sid=08620bc690afc790faf7e09c6f9cb729&age=12&all_sr_blocks=155793201_335445023_0_0_0&checkin=2021-10-01&checkout=2021-10-02&dest_id=-2093645&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=1&group_children=1&hapos=3&highlighted_blocks=155793201_335445023_0_0_0&hpos=3&no_rooms=1&req_adults=1&req_age=12&req_children=1&room1=A%2C12&sr_order=price&sr_pri_blocks=155793201_335445023_0_0_0__55000&srepoch=1632508590&srpvid=fc9b82d6bbff0033&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"Angelann Homestay","Fort Kochi, Cochin Show on map","₹ 550","1 night, 1 adult, 1 child","Standard Double Room","Beds: 1 double or 2 singles","9.0","Superb","60 reviews","https://www.booking.com/hotel/in/angelann-homestay.en-gb.html?label=gen173bo-1DCAQoggJCDHNlYXJjaF9rb2NoaUgJWANobIgBAZgBCbgBB8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCrbW4igbAAgHSAiQzOWYwNzkzYi04ODQyLTQyMTgtYjFmZC1jZjVjNDVjMWRmODDYAgTgAgE&sid=08620bc690afc790faf7e09c6f9cb729&age=12&all_sr_blocks=327292403_119168958_2_2_0&checkin=2021-10-01&checkout=2021-10-02&dest_id=-2093645&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=1&group_children=1&hapos=4&highlighted_blocks=327292403_119168958_2_2_0&hpos=4&no_rooms=1&req_adults=1&req_age=12&req_children=1&room1=A%2C12&sr_order=price&sr_pri_blocks=327292403_119168958_2_2_0__55000&srepoch=1632508590&srpvid=fc9b82d6bbff0033&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"Bastian Homestay","Fort Kochi, Cochin Show on map","₹ 600","1 night, 1 adult, 1 child","Budget Double Room with Fan","Beds: 1 double or 2 singles","9.4","Superb","278 reviews","https://www.booking.com/hotel/in/bastian-homestay.en-gb.html?label=gen173bo-1DCAQoggJCDHNlYXJjaF9rb2NoaUgJWANobIgBAZgBCbgBB8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCrbW4igbAAgHSAiQzOWYwNzkzYi04ODQyLTQyMTgtYjFmZC1jZjVjNDVjMWRmODDYAgTgAgE&sid=08620bc690afc790faf7e09c6f9cb729&age=12&all_sr_blocks=39857204_164875899_0_2_0&checkin=2021-10-01&checkout=2021-10-02&dest_id=-2093645&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=1&group_children=1&hapos=5&highlighted_blocks=39857204_164875899_0_2_0&hpos=5&no_rooms=1&req_adults=1&req_age=12&req_children=1&room1=A%2C12&sr_order=price&sr_pri_blocks=39857204_164875899_0_2_0__60000&srepoch=1632508590&srpvid=fc9b82d6bbff0033&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"Anupam Residency","Ernakulam, Cochin Show on map","₹ 600","1 night, 1 adult, 1 child","Budget Double Room","2 single beds","7.3","Good","21 reviews","https://www.booking.com/hotel/in/anupam-residency-kochi.en-gb.html?label=gen173bo-1DCAQoggJCDHNlYXJjaF9rb2NoaUgJWANobIgBAZgBCbgBB8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCrbW4igbAAgHSAiQzOWYwNzkzYi04ODQyLTQyMTgtYjFmZC1jZjVjNDVjMWRmODDYAgTgAgE&sid=08620bc690afc790faf7e09c6f9cb729&age=12&all_sr_blocks=726064503_310596258_2_0_0&checkin=2021-10-01&checkout=2021-10-02&dest_id=-2093645&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=1&group_children=1&hapos=6&highlighted_blocks=726064503_310596258_2_0_0&hpos=6&no_rooms=1&req_adults=1&req_age=12&req_children=1&room1=A%2C12&sr_order=price&sr_pri_blocks=726064503_310596258_2_0_0__60000&srepoch=1632508590&srpvid=fc9b82d6bbff0033&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"S & K Residency","Ernakulam, Cochin Show on map","₹ 600","1 night, 1 adult, 1 child","Deluxe Twin Room","2 single beds","7.1","Good","52 reviews","https://www.booking.com/hotel/in/s-amp-k-residency.en-gb.html?label=gen173bo-1DCAQoggJCDHNlYXJjaF9rb2NoaUgJWANobIgBAZgBCbgBB8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCrbW4igbAAgHSAiQzOWYwNzkzYi04ODQyLTQyMTgtYjFmZC1jZjVjNDVjMWRmODDYAgTgAgE&sid=08620bc690afc790faf7e09c6f9cb729&age=12&all_sr_blocks=552478002_204057736_2_0_0&checkin=2021-10-01&checkout=2021-10-02&dest_id=-2093645&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=1&group_children=1&hapos=7&highlighted_blocks=552478002_204057736_2_0_0&hpos=7&no_rooms=1&req_adults=1&req_age=12&req_children=1&room1=A%2C12&sr_order=price&sr_pri_blocks=552478002_204057736_2_0_0__60000&srepoch=1632508590&srpvid=fc9b82d6bbff0033&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"Jojies Homestay Fortkochi","Fort Kochi, Cochin Show on map","₹ 600","1 night, 1 adult, 1 child","Budget Double Room","1 double bed","9.1","Superb","225 reviews","https://www.booking.com/hotel/in/jojies-homestay-fortkochi.en-gb.html?label=gen173bo-1DCAQoggJCDHNlYXJjaF9rb2NoaUgJWANobIgBAZgBCbgBB8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCrbW4igbAAgHSAiQzOWYwNzkzYi04ODQyLTQyMTgtYjFmZC1jZjVjNDVjMWRmODDYAgTgAgE&sid=08620bc690afc790faf7e09c6f9cb729&age=12&all_sr_blocks=118995601_270806007_2_0_0&checkin=2021-10-01&checkout=2021-10-02&dest_id=-2093645&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=1&group_children=1&hapos=8&highlighted_blocks=118995601_270806007_2_0_0&hpos=8&no_rooms=1&req_adults=1&req_age=12&req_children=1&room1=A%2C12&sr_order=price&sr_pri_blocks=118995601_270806007_2_0_0__60000&srepoch=1632508590&srpvid=fc9b82d6bbff0033&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"Jacaranda Holiday Home","Fort Kochi, Cochin Show on map","₹ 600","1 night, 1 adult, 1 child","Budget Double Room","2 single beds","9.3","Superb","18 reviews","https://www.booking.com/hotel/in/jakranda-holiday-home.en-gb.html?label=gen173bo-1DCAQoggJCDHNlYXJjaF9rb2NoaUgJWANobIgBAZgBCbgBB8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCrbW4igbAAgHSAiQzOWYwNzkzYi04ODQyLTQyMTgtYjFmZC1jZjVjNDVjMWRmODDYAgTgAgE&sid=08620bc690afc790faf7e09c6f9cb729&age=12&all_sr_blocks=583268302_275503638_2_42_0&checkin=2021-10-01&checkout=2021-10-02&dest_id=-2093645&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=1&group_children=1&hapos=9&highlighted_blocks=583268302_275503638_2_42_0&hpos=9&no_rooms=1&req_adults=1&req_age=12&req_children=1&room1=A%2C12&sr_order=price&sr_pri_blocks=583268302_275503638_2_42_0__60000&srepoch=1632508590&srpvid=fc9b82d6bbff0033&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
"Oshin Home Stay","Fort Kochi, Cochin Show on map","₹ 600","1 night, 1 adult, 1 child","Standard Double Room","1 double bed","9.2","Superb","79 reviews","https://www.booking.com/hotel/in/oshin-homestay.en-gb.html?label=gen173bo-1DCAQoggJCDHNlYXJjaF9rb2NoaUgJWANobIgBAZgBCbgBB8gBDNgBA-gBAfgBA4gCAZgCAqgCA7gCrbW4igbAAgHSAiQzOWYwNzkzYi04ODQyLTQyMTgtYjFmZC1jZjVjNDVjMWRmODDYAgTgAgE&sid=08620bc690afc790faf7e09c6f9cb729&age=12&all_sr_blocks=147752901_335439080_0_0_0&checkin=2021-10-01&checkout=2021-10-02&dest_id=-2093645&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=1&group_children=1&hapos=10&highlighted_blocks=147752901_335439080_0_0_0&hpos=10&no_rooms=1&req_adults=1&req_age=12&req_children=1&room1=A%2C12&sr_order=price&sr_pri_blocks=147752901_335439080_0_0_0__60000&srepoch=1632508590&srpvid=fc9b82d6bbff0033&ucfs=1&from=searchresults;highlight_room=#hotelTmpl"
